id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3350,Allen,Lavoy,IND,PF,SAC,22.00,5.87,0.00,6.56,1.70,0.47,0.94,1.09,2.65,0.56,0.30,2.65,3.06,0.01,0.00,3600,10,3500,6300,0,57800,0,6600,3500,PF,C,C,PF;C,,,,F,F
2419,Bogut,Andrew,GSW,C,UTA,21.00,4.99,0.00,6.44,1.81,0.46,1.45,1.25,2.37,0.25,0.39,2.37,1.80,0.00,0.00,4300,15,4200,9150,0,67400,0,9100,4150,C,C,C,C,,C,,C,C
4070,Frazier,Tim,POR,PG,@ NOR,24.00,6.69,0.64,2.35,6.18,0.59,0.05,2.14,1.77,1.23,0.82,2.41,3.54,0.01,0.00,3800,10,3600,5000,0,35000,0,3000,3300,PG,PG,PG,PG,,,,G,G
2083,Chandler,Tyson,PHO,C,DEN,20.00,6.01,0.00,7.45,0.48,0.59,0.93,0.96,2.20,1.61,0.73,2.20,0.99,0.03,0.00,3700,12,4000,7400,0,52800,0,7100,3850,C,C,C,C,,C,,C,C
2578,Barea,JJ,DAL,PG,@ BKN,22.00,8.89,0.81,1.93,4.40,0.59,0.04,1.31,2.62,1.23,0.27,3.43,5.17,0.01,0.00,3800,10,3600,7250,0,53700,0,6200,3700,PG,SG,PG,PG;SG,,,,G,G
3722,Crabbe,Allen,POR,SG,@ NOR,30.00,11.01,1.60,2.80,1.47,0.77,0.23,0.83,2.56,1.08,0.23,4.16,5.25,0.01,0.00,4200,11,4400,6800,0,60100,0,7100,3800,SG,SG,SG,SG,,,,G,G
3923,Harris,Gary,DEN,SG,@ PHO,30.00,10.64,1.47,2.67,1.59,1.37,0.23,1.73,2.53,1.19,0.30,3.99,4.43,0.01,0.00,3700,11,4000,6000,0,61500,0,7000,3600,SG,SG,SG,SG,,,,G,G
2308,Smith,JR,CLE,SG,NYK,27.00,9.63,1.65,2.99,1.84,0.88,0.23,0.67,2.02,0.64,0.30,3.67,5.39,0.00,0.00,4900,19,4900,8450,0,66900,0,7900,4350,SG,SG,SG,SG;SF,,,,G,G
2728,Hawes,Spencer,CHA,C,BOS,21.00,7.98,0.86,4.45,2.19,0.30,0.74,1.16,2.14,1.11,0.35,3.00,4.14,0.01,0.00,3800,10,3600,6000,0,54200,0,6500,3700,C,PF,C,PF;C,,,,C,F
3470,Ezeli,Festus,GSW,C,UTA,19.00,7.19,0.00,5.86,0.55,0.30,1.32,0.91,2.63,1.93,1.43,2.63,2.58,0.02,0.00,4800,14,4600,8450,0,75800,0,9500,4200,C,C,C,C,,C,,C,C
2430,Frye,Channing,ORL,PF,HOU,23.00,8.27,2.09,4.31,1.43,0.75,0.66,1.12,0.78,0.45,0.06,2.87,3.90,0.01,0.00,3700,10,3800,6350,0,56000,0,6200,3500,PF,PF,PF,PF;C,,,,F,F
4008,Galloway,Langston,NYK,SG,@ CLE,25.00,8.33,1.13,3.77,2.02,0.89,0.13,0.78,1.83,1.27,0.32,2.96,4.33,0.01,0.00,3900,10,3800,7850,0,60900,0,7600,3800,SG,SG,SG,PG;SG,,,,G,G
3693,Canaan,Isaiah,PHI,PG,@ MIL,28.00,10.55,2.20,2.12,2.44,0.75,0.13,1.52,1.08,1.76,0.35,3.29,6.10,0.01,0.00,4200,11,4300,8000,0,57200,0,6400,4150,PG,PG,PG,PG,,,,G,G
3728,Burke,Trey,UTA,PG,@ GSW,23.00,10.05,1.46,1.90,2.73,0.87,0.05,1.28,2.35,0.96,0.32,3.81,6.63,0.01,0.00,4600,12,4300,8300,0,69500,0,7800,3900,PG,PG,PG,PG,,,,G,G
